filename,configuration,block_size,constant_c,foreground_fraction
camera.png,small_block,31,-10.00,0.138016
camera.png,reference,127,-10.00,0.221577
camera.png,large_block,191,-10.00,0.263775
camera.png,positive_c,127,5.00,0.702690
clock_motion.png,small_block,31,-10.00,0.007250
clock_motion.png,reference,127,-10.00,0.045717
clock_motion.png,large_block,191,-10.00,0.058900
clock_motion.png,positive_c,127,5.00,0.915992
coffee.png,small_block,31,-10.00,0.149671
coffee.png,reference,127,-10.00,0.235983
coffee.png,large_block,191,-10.00,0.286779
coffee.png,positive_c,127,5.00,0.558729
hubble_deep_field.jpg,small_block,31,-10.00,0.066401
hubble_deep_field.jpg,reference,127,-10.00,0.081991
hubble_deep_field.jpg,large_block,191,-10.00,0.085049
hubble_deep_field.jpg,positive_c,127,5.00,0.516821
rocket.jpg,small_block,31,-10.00,0.070539
rocket.jpg,reference,127,-10.00,0.080112
rocket.jpg,large_block,191,-10.00,0.083255
rocket.jpg,positive_c,127,5.00,0.795452
