scenario,block_size,constant_c,iou,precision,recall,f1
uniform_clean,31,-15.00,0.307102,1.000000,0.307102,0.469898
uniform_clean,31,-10.00,0.368178,1.000000,0.368178,0.538202
uniform_clean,31,-5.00,0.417695,1.000000,0.417695,0.589259
uniform_clean,31,0.00,0.566633,1.000000,0.566633,0.723377
uniform_clean,31,5.00,0.318416,0.318416,1.000000,0.483028
uniform_clean,63,-15.00,0.578860,1.000000,0.578860,0.733263
uniform_clean,63,-10.00,0.642659,1.000000,0.642659,0.782462
uniform_clean,63,-5.00,0.726798,1.000000,0.726798,0.841787
uniform_clean,63,0.00,0.893020,1.000000,0.893020,0.943487
uniform_clean,63,5.00,0.387126,0.387126,1.000000,0.558170
uniform_clean,95,-15.00,0.794431,1.000000,0.794431,0.885441
uniform_clean,95,-10.00,0.859509,1.000000,0.859509,0.924447
uniform_clean,95,-5.00,0.923919,1.000000,0.923919,0.960455
uniform_clean,95,0.00,0.994443,1.000000,0.994443,0.997214
uniform_clean,95,5.00,0.466892,0.466892,1.000000,0.636573
uniform_clean,127,-15.00,0.937535,1.000000,0.937535,0.967760
uniform_clean,127,-10.00,0.967100,1.000000,0.967100,0.983275
uniform_clean,127,-5.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,127,0.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,127,5.00,0.552285,0.552285,1.000000,0.711577
uniform_clean,159,-15.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,159,-10.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,159,-5.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,159,0.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,159,5.00,0.628524,0.628524,1.000000,0.771894
uniform_clean,191,-15.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,191,-10.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,191,-5.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,191,0.00,1.000000,1.000000,1.000000,1.000000
uniform_clean,191,5.00,0.694400,0.694400,1.000000,0.819642
shifted_low_contrast,31,-15.00,0.141276,0.543110,0.160331,0.247576
shifted_low_contrast,31,-10.00,0.207512,0.452025,0.277259,0.343702
shifted_low_contrast,31,-5.00,0.259071,0.391829,0.433311,0.411527
shifted_low_contrast,31,0.00,0.283515,0.347247,0.607036,0.441780
shifted_low_contrast,31,5.00,0.290348,0.318409,0.767145,0.450030
shifted_low_contrast,63,-15.00,0.231584,0.695620,0.257697,0.376075
shifted_low_contrast,63,-10.00,0.311725,0.583084,0.401134,0.475291
shifted_low_contrast,63,-5.00,0.350883,0.486948,0.556686,0.519487
shifted_low_contrast,63,0.00,0.352680,0.411415,0.711848,0.521454
shifted_low_contrast,63,5.00,0.335238,0.358448,0.838113,0.502139
shifted_low_contrast,95,-15.00,0.332468,0.798313,0.362954,0.499026
shifted_low_contrast,95,-10.00,0.416570,0.682549,0.516672,0.588139
shifted_low_contrast,95,-5.00,0.444322,0.569040,0.669668,0.615267
shifted_low_contrast,95,0.00,0.423132,0.471135,0.805935,0.594649
shifted_low_contrast,95,5.00,0.378955,0.395608,0.900022,0.549626
shifted_low_contrast,127,-15.00,0.428557,0.857069,0.461543,0.599986
shifted_low_contrast,127,-10.00,0.517413,0.751505,0.624208,0.681967
shifted_low_contrast,127,-5.00,0.531549,0.633054,0.768256,0.694133
shifted_low_contrast,127,0.00,0.484605,0.519529,0.878182,0.652840
shifted_low_contrast,127,5.00,0.416395,0.426831,0.944537,0.587965
shifted_low_contrast,159,-15.00,0.527248,0.893993,0.562410,0.690455
shifted_low_contrast,159,-10.00,0.612565,0.801964,0.721741,0.759740
shifted_low_contrast,159,-5.00,0.608292,0.682226,0.848783,0.756445
shifted_low_contrast,159,0.00,0.532840,0.555389,0.929199,0.695233
shifted_low_contrast,159,5.00,0.444857,0.450778,0.971324,0.615780
shifted_low_contrast,191,-15.00,0.615304,0.918851,0.650661,0.761843
shifted_low_contrast,191,-10.00,0.692075,0.835487,0.801267,0.818019
shifted_low_contrast,191,-5.00,0.665534,0.716692,0.903134,0.799184
shifted_low_contrast,191,0.00,0.568214,0.582039,0.959876,0.724664
shifted_low_contrast,191,5.00,0.464523,0.467771,0.985273,0.634368
uneven_illumination,31,-15.00,0.202452,0.990502,0.202845,0.336731
uneven_illumination,31,-10.00,0.268553,0.882239,0.278537,0.423400
uneven_illumination,31,-5.00,0.329588,0.597072,0.423864,0.495775
uneven_illumination,31,0.00,0.335971,0.401713,0.672446,0.502962
uneven_illumination,31,5.00,0.315413,0.327271,0.896966,0.479565
uneven_illumination,63,-15.00,0.393650,0.996908,0.394131,0.564920
uneven_illumination,63,-10.00,0.489300,0.946675,0.503168,0.657087
uneven_illumination,63,-5.00,0.537763,0.750941,0.654496,0.699409
uneven_illumination,63,0.00,0.463864,0.513649,0.827165,0.633753
uneven_illumination,63,5.00,0.376785,0.384148,0.951595,0.547340
uneven_illumination,95,-15.00,0.578012,0.998465,0.578526,0.732583
uneven_illumination,95,-10.00,0.688482,0.969164,0.703901,0.815504
uneven_illumination,95,-5.00,0.710119,0.831486,0.829499,0.830491
