filename,method,iou,precision,recall,f1,foreground_fraction
British_Shorthair_64.jpg,otsu_bright,0.128387,0.145907,0.516726,0.227559,0.715952
British_Shorthair_64.jpg,otsu_dark,0.251472,0.343955,0.483274,0.401883,0.284048
British_Shorthair_64.jpg,grabcut,0.715708,0.794878,0.877837,0.834300,0.223261
Egyptian_Mau_62.jpg,otsu_bright,0.212990,0.282676,0.463511,0.351181,0.589339
Egyptian_Mau_62.jpg,otsu_dark,0.334032,0.469539,0.536489,0.500786,0.410661
Egyptian_Mau_62.jpg,grabcut,0.786897,0.935352,0.832156,0.880741,0.319760
Ragdoll_183.jpg,otsu_bright,0.349637,0.660414,0.426274,0.518120,0.478064
Ragdoll_183.jpg,otsu_dark,0.507286,0.814145,0.573726,0.673112,0.521936
Ragdoll_183.jpg,grabcut,0.701304,1.000000,0.701304,0.824431,0.519422
boxer_16.jpg,otsu_bright,0.124279,0.208697,0.235029,0.221082,0.443434
boxer_16.jpg,otsu_dark,0.464036,0.541194,0.764971,0.633913,0.556566
boxer_16.jpg,grabcut,0.601509,0.707472,0.800640,0.751178,0.445608
english_setter_1.jpg,otsu_bright,0.418422,0.661635,0.532332,0.589982,0.466729
english_setter_1.jpg,otsu_dark,0.322172,0.508735,0.467668,0.487338,0.533271
english_setter_1.jpg,grabcut,0.791919,0.998124,0.793099,0.883878,0.460940
samoyed_39.jpg,otsu_bright,0.565623,0.588888,0.934712,0.722553,0.841192
samoyed_39.jpg,otsu_dark,0.052892,0.217876,0.065288,0.100469,0.158808
samoyed_39.jpg,grabcut,0.875335,0.958742,0.909599,0.933524,0.502804
