scenario,method,threshold,block_size,constant_c,iou,precision,recall,f1
uniform_clean,fixed,127.00,,,1.000000,1.000000,1.000000,1.000000
uniform_clean,otsu,45.00,,,1.000000,1.000000,1.000000,1.000000
uniform_clean,adaptive,,127,-10.00,0.967100,1.000000,0.967100,0.983275
shifted_low_contrast,fixed,127.00,,,0.332828,0.332828,1.000000,0.499431
shifted_low_contrast,otsu,153.00,,,0.914105,0.929887,0.981772,0.955125
shifted_low_contrast,adaptive,,127,-10.00,0.517413,0.751505,0.624208,0.681967
uneven_illumination,fixed,127.00,,,0.452812,0.487419,0.864455,0.623359
uneven_illumination,otsu,110.00,,,0.452910,0.454337,0.993109,0.623452
uneven_illumination,adaptive,,127,-10.00,0.846712,0.978325,0.862899,0.916994
high_noise,fixed,127.00,,,0.952560,0.979502,0.971935,0.975704
high_noise,otsu,118.00,,,0.945285,0.958097,0.986051,0.971873
high_noise,adaptive,,127,-10.00,0.539396,0.602908,0.836612,0.700789
